Date,Open,High,Low,Close,Adj Close,Volume
2021-06-07,651.619995,652.500000,643.000000,649.580017,645.277527,812700
2021-06-08,658.000000,658.289978,634.340027,637.549988,633.327087,885600
2021-06-09,641.130005,643.419983,633.109985,634.090027,629.890137,659400
2021-06-10,631.799988,647.000000,631.799988,640.770020,636.525818,844000
2021-06-11,641.630005,642.950012,634.830017,642.109985,637.856995,1024400
2021-06-14,641.719971,651.140015,638.190002,650.239990,645.933105,1018800
2021-06-15,646.919983,654.000000,641.809998,643.479980,640.498413,638000
2021-06-16,645.679993,650.890015,632.549988,638.739990,635.780396,1073800
2021-06-17,636.450012,647.000000,628.700012,639.780029,636.815552,854800
2021-06-18,630.099976,631.580017,608.890015,612.659973,609.821167,2113900
2021-06-21,614.450012,623.969971,608.580017,618.619995,615.753601,993000
2021-06-22,617.520020,626.150024,609.250000,621.789978,618.908875,719900
2021-06-23,625.000000,633.200012,623.340027,624.219971,621.327637,679600
2021-06-24,633.809998,637.609985,631.799988,635.020020,632.077637,768100
2021-06-25,635.000000,636.330017,625.719971,630.440002,627.518860,1249600
2021-06-28,636.770020,649.530029,636.690002,646.960022,643.962341,963300
2021-06-29,646.900024,654.650024,644.010010,651.789978,648.769836,797600
2021-06-30,651.260010,651.830017,643.409973,650.700012,647.684998,803300
2021-07-01,647.669983,649.380005,631.219971,633.070007,630.136658,1134300
2021-07-02,640.229980,641.250000,627.000000,631.440002,628.514221,742600
2021-07-06,631.440002,637.710022,614.450012,621.900024,619.018433,1024000
2021-07-07,629.090027,629.419983,609.770020,613.590027,610.746948,862200
2021-07-08,600.640015,613.500000,594.210022,606.030029,603.221924,1021800
2021-07-09,607.809998,614.330017,602.880005,612.849976,610.010315,837200
2021-07-12,617.510010,629.270020,616.960022,625.419983,622.522095,1731500
2021-07-13,622.739990,626.000000,615.549988,624.669983,621.775574,1083400
2021-07-14,632.099976,640.500000,616.349976,617.880005,615.017029,1150700
2021-07-15,614.780029,621.000000,603.580017,610.739990,607.910095,1249700
2021-07-16,612.799988,616.000000,586.000000,588.479980,585.753235,1353800
2021-07-19,577.989990,591.900024,575.330017,591.520020,588.779175,1456700
2021-07-20,595.940002,611.780029,588.190002,607.090027,604.277039,1555800
2021-07-21,608.210022,638.780029,608.210022,637.250000,634.297241,1637400
2021-07-22,632.070007,638.190002,630.539978,635.929993,632.983398,1252000
2021-07-23,641.719971,644.650024,633.510010,640.270020,637.303284,1031700
2021-07-26,641.229980,647.960022,635.250000,640.390015,637.422791,878200
2021-07-27,635.010010,637.260010,607.599976,622.590027,619.705200,1491200
2021-07-28,625.119995,638.000000,623.429993,635.000000,632.057678,1216000
2021-07-29,610.570007,622.469971,597.059998,619.630005,616.758911,2913900
2021-07-30,611.000000,637.500000,610.669983,637.409973,634.456482,1650500
2021-08-02,646.200012,659.489990,641.000000,641.799988,638.826172,1392300
2021-08-03,645.479980,649.340027,636.469971,645.520020,642.528931,684400
2021-08-04,648.820007,654.650024,641.500000,649.780029,646.769287,1112000
2021-08-05,651.789978,653.609985,642.710022,645.659973,642.668274,596100
2021-08-06,642.599976,648.349976,642.000000,647.960022,644.957703,606500
2021-08-09,650.000000,650.330017,639.000000,640.500000,637.532227,783100
2021-08-10,640.799988,641.219971,615.109985,617.169983,614.310303,1624900
2021-08-11,619.989990,621.909973,596.159973,608.520020,605.700439,1755700
2021-08-12,598.349976,598.450012,578.150024,583.510010,580.806274,2513600
2021-08-13,583.250000,588.340027,577.169983,580.409973,577.720642,1765400
